process_id,temperature_raw,temperature_c,time_raw,time_hours
3e9a6fb4c8d2a7533d8582f65a7cfcc2-p2,4 c,4.0,,
3f9480ef69735615038b3c0ccb5464dd-p1,25 c,25.0,,
3f9480ef69735615038b3c0ccb5464dd-p2,60 c,60.0,20 min,20 min
3f9480ef69735615038b3c0ccb5464dd-p3,270 c,270.0,,
3f9480ef69735615038b3c0ccb5464dd-p4,85 c,85.0,10 min,10 min
3f99d99ba7fb1ba2958ab065a470ef29-p1,90 c,90.0,,
405a5bfc0817317a9ff87b03c784497c-p1,1 c,1.0,,
40b1e88557b56225434326d8c2ee4325-p1,2 c,2.0,,
40b1e88557b56225434326d8c2ee4325-p2,180 c,180.0,2 min,2 min
40b1e88557b56225434326d8c2ee4325-p3,,,,
418d0c2a6496344cd024d969198ad4fe-p1,120 c,120.0,15 min,15 min
418d0c2a6496344cd024d969198ad4fe-p2,60 c,60.0,,
418d0c2a6496344cd024d969198ad4fe-p3,180 c,180.0,,
42bd05b243edaefdd91ce589a7e4b0b8-p1,,,,
42bd05b243edaefdd91ce589a7e4b0b8-p2,180 c,180.0,,
42ce79a416a537dcce17e12e5cf03eac-p1,90 c,90.0,10 min,10 min
42ce79a416a537dcce17e12e5cf03eac-p2,120 c,120.0,,
42ce79a416a537dcce17e12e5cf03eac-p3,1 c,1.0,,
4331451941909f311faa2356a68efb3f-p1,,,,
435ad4fce30f7fb8b826b6619aa40484-p1,2 c,2.0,,
4365bb1fee92d2c5fab9533d5fca5f13-p1,150 c,150.0,30 min,0.5
4365bb1fee92d2c5fab9533d5fca5f13-p2,3c,3.0,,
4365bb1fee92d2c5fab9533d5fca5f13-p3,600 c,600.0,,
4365bb1fee92d2c5fab9533d5fca5f13-p4,60 c,60.0,,
4384f868b4c23503ee5f96a85339257a-p1,4 c,4.0,,
439b9ddf7e951dfdd4c37a638e965d72-p1,1000 c,1000.0,,
43bb5c23d271f1f619fbf444969a2e1c-p1,200 c,200.0,,
43bb5c23d271f1f619fbf444969a2e1c-p2,,,,
43bb5c23d271f1f619fbf444969a2e1c-p3,180 c,180.0,,
43e2b8c010c57437576cc4faf34b9f07-p1,2 c,2.0,,
44a457aeab7e39087679f272697abf0f-p1,2 c,2.0,,
44c5fd7cdfec67e9561d519b431ea398-p1,785 c,785.0,20 min,20 min
44c5fd7cdfec67e9561d519b431ea398-p2,,,,
4506bdb55ff6957fe3e33714374987c1-p1,1 c,1.0,15 min,15 min
4506bdb55ff6957fe3e33714374987c1-p2,2 c,2.0,,
4542838fc6a6a0c64846ff48ce273a67-p1,7 c,7.0,,
45b5bbddb42e21257e27058d8d317f55-p1,220 c,220.0,15 min,15 min
462d589212adb69a4fecc896748f3d4e-p1,2009 c,2009.0,,
463147073c85e4abe4ca1382b294ccb5-p1,550 c,550.0,5 min,5 min
46777225ecd801e16cd96f357976d5b1-p1,350 c,350.0,30 min,0.5
46777225ecd801e16cd96f357976d5b1-p2,70 c,70.0,30 min,0.5
4679f33946d6cf7972c33b32e41419b2-p1,160 c,160.0,,
4679f33946d6cf7972c33b32e41419b2-p2,1 c,1.0,,
4679f33946d6cf7972c33b32e41419b2-p3,,,,
46b789c3db3bc1ed1e2a941044f2750a-p1,,,,
46b789c3db3bc1ed1e2a941044f2750a-p2,,,,
46b789c3db3bc1ed1e2a941044f2750a-p3,,,,
46b789c3db3bc1ed1e2a941044f2750a-p4,,,,
46d20a32230a9816b19b293adf29fcb9-p1,3 c,3.0,1 min,1 min
47290d19c575502d26663185274a48d2-p1,2 c,2.0,,
473dbd905a5be144ca447cc095bb5a08-p1,2 c,2.0,30 min,0.5
473dbd905a5be144ca447cc095bb5a08-p2,35 c,35.0,,
473dbd905a5be144ca447cc095bb5a08-p3,,,,
473dbd905a5be144ca447cc095bb5a08-p4,80 c,80.0,,
473dbd905a5be144ca447cc095bb5a08-p5,1 c,1.0,,
480a623e04c0a9f86f7fb322edf4a484-p1,225 c,225.0,15 min,15 min
48144549fe3cb188c84b187340635da0-p1,3c,3.0,,
48144549fe3cb188c84b187340635da0-p2,1 c,1.0,30 min,0.5
486a9fb33e6762a602c6b034ec110eae-p1,2 c,2.0,,
489024cee8963c543c6c88096c786dc5-p1,300 c,300.0,30 min,0.5
4b26a065e7e3a9f8021397bc67a3e7c2-p1,2 c,2.0,60 min,60 min
4f1b9d603f66e5b6555830f5705d2574-p1,2 c,2.0,90 min,90 min
4f1b9d603f66e5b6555830f5705d2574-p2,4 c,4.0,30 min,0.5
4f44fbcde7d05188865f0e1d97492aac-p1,3c,3.0,,
4f44fbcde7d05188865f0e1d97492aac-p2,3c,3.0,,
4f44fbcde7d05188865f0e1d97492aac-p3,155 c,155.0,,
53be1d53c69e0fe4be86bd02b4fce010-p1,3c,3.0,10 min,10 min
55443aac705811910e59ceb0b9ffa6d8-p1,,,120 min,120 min
55443aac705811910e59ceb0b9ffa6d8-p2,1 c,1.0,30 min,0.5
55443aac705811910e59ceb0b9ffa6d8-p3,,,,
55443aac705811910e59ceb0b9ffa6d8-p4,,,,
57cee5815045f86cdad5922dac8f4f9d-p1,1 c,1.0,3 min,3 min
5940a9b30408de76f73faf0987f44e72-p1,60 c,60.0,30 min,0.5
5940a9b30408de76f73faf0987f44e72-p2,1 c,1.0,,
5940a9b30408de76f73faf0987f44e72-p3,120 c,120.0,,
59a70a66b7ee40110726b7329c266f52-p1,3100c,3100.0,,
5ac0f5f3418da2ddc2cef5683938df96-p1,50 c,50.0,30 min,0.5
5ac0f5f3418da2ddc2cef5683938df96-p2,,,,
5d4bc628e9203a3f895fcd827b2ab27a-p1,3 c,3.0,30 min,0.5
5d69577947e6782186d30c9812995e07-p1,80 c,80.0,10 min,10 min
5e8027aa4261a6920c16ee8adff185b1-p1,4 c,4.0,1 min,1 min
5e8027aa4261a6920c16ee8adff185b1-p2,,,1 min,1 min
5e8027aa4261a6920c16ee8adff185b1-p3,,,,
5e8027aa4261a6920c16ee8adff185b1-p4,,,30 min,0.5
5e8027aa4261a6920c16ee8adff185b1-p5,25 c,25.0,,
5e9db060149cbcf1336006c51dd32359-p1,0 c,0.0,,
5e9db060149cbcf1336006c51dd32359-p2,,,,
5e9db060149cbcf1336006c51dd32359-p3,2 c,2.0,10 min,10 min
5e9db060149cbcf1336006c51dd32359-p4,,,10 min,10 min
5e9db060149cbcf1336006c51dd32359-p5,4 c,4.0,20 min,20 min
5e9db060149cbcf1336006c51dd32359-p6,0 c,0.0,3 min,3 min
62043bb4d8e9b6ba2ecbdf44515cb1dd-p1,,,,
62043bb4d8e9b6ba2ecbdf44515cb1dd-p2,,,,
62043bb4d8e9b6ba2ecbdf44515cb1dd-p3,,,,
6b6b5302fc5c5600488b4f9fc72f4cd7-p1,35 c,35.0,10 min,10 min
6b6b5302fc5c5600488b4f9fc72f4cd7-p2,60 c,60.0,5 min,5 min
6cae8cf49cfaa40ff6c86cae40d3aff2-p1,100 c,100.0,30 min,0.5
6cae8cf49cfaa40ff6c86cae40d3aff2-p2,2 c,2.0,,
6df19a12898d7b8678bdb0295a093b1f-p1,,,,
6df19a12898d7b8678bdb0295a093b1f-p2,,,,
6df19a12898d7b8678bdb0295a093b1f-p3,60 c,60.0,,
6eebdec16599f8a86caec73a4964ac32-p1,105 c,105.0,15 min,15 min
6ff38dcf274d8d5c54b15c7f6b0b3c74-p1,,,,
73760b94caf0b257633eaa3b10442f36-p1,110 c,110.0,,
73760b94caf0b257633eaa3b10442f36-p2,10 c,10.0,,
73760b94caf0b257633eaa3b10442f36-p3,70 c,70.0,,
76fd8989c7bad57c0c2f0b3169227438-p1,3c,3.0,,
